134.5,,4.13,1,,
14.57,,4.06,0,,
14.57,,3.91,0,,
32.05,,3.38,0,,
0,,3.61,0,,
6.41,,3.49,0,,
127.45,,3.52,1,,
0,,3.73,0,,
0,,4.04,0,,
0,,4.35,0,,
0,,4.59,0,,
0,,4.75,0,,
141.52,,3.78,1,,
0,,4.7,0,,
0.58,,4.62,0,,
0,,4.43,0,,
0,,4.15,0,,
0,,3.82,0,,
134.52,,3.52,1,,
0,,3.32,0,,
1.16,,3.32,0,,
11.66,,3.46,0,,
206.88,,3.64,0,,
58.86,,3.81,0,,
136.52,,3.95,1,,
2.91,,4.06,0,,
0,,4.13,0,,
4.08,,4.16,0,,
97.9,,4.25,0,,
32.63,,4.28,0,,
143.15,,3.55,1,,
48.95,,4.16,0,,
47.79,,4.01,0,,
107.81,,4.25,0,,
78.09,,4.45,0,,
38.46,,4.6,0,,
137.45,,3.69,1,,
26.22,,4.7,0,,
174.24,,4.64,0,,
56.53,,4.52,0,,
46.04,,4.35,0,,
10.49,,4.16,0,,
139.85,,3.99,1,,
2.91,,3.87,0,,
7,,3.84,0,,
3.5,,4.02,0,,
10,,4.29,0,,
12.24,,4.51,0,,
133.45,,3.64,1,,
2.91,,4.69,0,,
10,,4.66,0,,
2.91,,4.57,0,,
142.77,,4.43,0,,
48.37,,4.25,0,,
111.5,,4.06,1,,
130.54,,3.86,0,,
43.71,,3.67,0,,
88,,3.51,0,,
10,,3.41,0,,
26.22,,3.38,0,,
121.12,,3.6,1,,
27.39,,3.89,0,,
41.96,,4.18,0,,
11.65,,4.44,0,,
42.54,,4.64,0,,
14.57,,4.78,0,,
131.63,,3.83,1,,
7.58,,4.79,0,,
18.65,,4.67,0,,
1.75,,4.47,0,,
5.83,,4.22,0,,
1.17,,3.96,0,,
134.52,,3.75,1,,
1.17,,3.66,0,,
14.57,,3.87,0,,
8.16,,4.1,0,,
0.58,,4.29,0,,
2.33,,4.43,0,,
98.52,,3.51,1,,
1.75,,4.53,0,,
1.75,,4.49,0,,
29.72,,4.41,0,,
0,,4.28,0,,
17.45,,4.12,0,,
88.89,,3.94,1,,
0.58,,3.74,0,,
2.91,,3.55,0,,
17.48,,3.38,0,,
16.31,,3.28,0,,
2.33,,3.47,0,,
107.13,,3.77,1,,
2.91,,4.1,0,,
2.33,,4.4,0,,
39.63,,4.66,0,,
115.97,,4.83,0,,
43.12,,4.9,0,,
121.15,,3.39,1,,
27.39,,4.7,0,,
5.83,,4.46,0,,
26.81,,4.15,0,,
12.82,,3.82,0,,
0,,3.56,0,,
157.49,,3.56,1,,
0,,3.71,0,,
7.58,,3.91,0,,
12.23,,4.09,0,,
0,,4.24,0,,
0,,4.33,0,,
135.56,,3.62,1,,
0.58,,4.38,0,,
0,,4.33,0,,
0,,4.22,0,,
0,,4.08,0,,
